WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Wirt,11,9,11,12,66.55,65.56,70.36,71.42,25.14,16.41,23.92,30.64,20,23,66.1,70.91,21.12,27.01,10,9,8,11,19.8,13.22,23.13,27.18,28.6,16.14,26.07,28.58,19,19,16.68,25.47,23.15,26.88,0.0,0.0,nature_based_non_human,4,short_word,
Wirtschaft,11,11,11,12,35.36,14.36,52.91,43.83,29.55,22.4,29.62,34.45,22,23,24.86,48.17,27.75,31.84,8,10,9,10,-7.13,-27.6,11.22,11.0,40.59,23.86,20.25,36.73,18,19,-18.5,11.11,33.01,29.27,0.0,0.0,,10,long_word,
Witwe,12,9,11,12,45.08,53.33,64.64,75.5,30.93,27.12,38.96,36.12,21,23,48.62,70.3,28.95,37.06,10,8,9,10,-32.8,-38.13,-31.78,-26.5,30.39,32.5,35.59,54.74,18,19,-35.17,-29.0,30.52,45.48,0.0,0.0,nature_based_human,5,short_word,
Witz,12,9,11,11,39.33,24.44,47.36,53.18,35.73,20.54,35.86,35.14,21,22,32.95,50.27,30.46,34.77,8,10,8,11,44.25,51.6,47.63,66.18,43.55,37.08,37.49,22.52,18,19,48.33,58.37,39.02,30.28,0.0,0.0,,4,short_word,
Woche,9,11,11,11,23.56,25.27,39.09,60.55,29.94,21.67,31.68,32.66,20,22,24.5,49.82,25.01,33.26,10,8,9,11,3.0,10.0,10.0,32.09,11.31,14.39,24.56,33.71,18,20,6.11,22.15,12.88,31.29,0.0,0.0,,5,short_word,
Wodka,12,9,12,11,88.75,79.44,78.0,85.91,11.75,16.14,26.69,19.45,21,23,84.76,81.78,14.23,23.33,9,9,9,10,27.11,17.0,-32.22,-9.5,70.21,42.4,54.48,34.31,18,19,22.06,-20.26,56.51,45.2,0.0,0.0,,5,short_word,
Wohl,10,11,14,9,14.5,17.36,26.79,38.33,12.0,18.05,25.82,35.43,21,23,16.0,31.3,15.16,29.72,10,10,9,10,46.9,31.6,40.44,55.6,23.28,31.33,21.1,20.97,20,19,39.25,48.42,27.99,21.87,0.0,0.0,,4,short_word,
Wohlfahrt,10,9,11,12,11.7,15.11,37.82,44.25,12.64,18.98,34.31,31.32,19,23,13.32,41.17,15.59,32.19,9,10,9,10,15.89,-1.5,32.78,22.8,39.27,33.95,30.03,27.99,19,19,6.74,27.53,36.62,28.61,0.0,0.0,,9,long_word,
Wohlstand,11,9,11,11,39.27,34.11,30.73,56.36,33.65,21.09,21.49,33.84,20,22,36.95,43.55,28.11,30.61,9,9,8,11,29.67,43.22,57.63,60.45,45.53,32.36,34.88,25.91,18,19,36.44,59.26,38.95,29.12,0.0,0.0,,9,long_word,
Wohnblock,10,10,11,11,65.1,70.1,90.36,75.73,20.63,16.94,15.2,28.1,20,22,67.6,83.05,18.55,23.28,9,10,9,10,-23.33,-25.2,24.33,23.6,18.24,29.25,27.58,21.6,19,19,-24.32,23.95,24.01,23.91,0.0,0.0,,9,long_word,
Wohnhaus,10,9,13,10,80.0,70.22,94.69,90.0,22.9,17.43,8.24,13.0,19,23,75.37,92.65,20.55,10.57,9,9,8,11,17.89,6.33,41.5,47.36,23.81,22.55,28.03,28.54,18,19,12.11,44.89,23.27,27.69,0.0,0.0,,8,long_word,
Wohnung,10,10,14,9,75.1,81.3,89.21,91.89,27.18,12.37,16.37,6.83,20,23,78.2,90.26,20.8,13.31,10,8,10,9,44.0,38.88,69.1,62.44,28.84,23.47,27.51,18.12,18,19,41.72,65.95,25.96,23.15,0.0,0.0,,7,long_word,
Wohnwagen,10,9,11,12,84.9,85.89,95.0,89.25,19.44,14.3,6.77,13.39,19,23,85.37,92.0,16.74,10.91,8,10,10,9,36.0,34.7,31.0,12.0,34.98,26.32,41.44,32.75,18,19,35.28,22.0,29.51,37.82,0.0,0.0,,9,long_word,
