WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Kern,11,8,12,11,76.36,79.13,86.42,81.36,20.54,21.84,16.25,26.48,19,23,77.53,84.0,20.54,21.39,9,9,10,9,2.44,14.89,14.5,13.89,29.13,27.17,21.44,16.05,18,19,8.67,14.21,28.07,18.56,0.0,0.0,,4,short_word,
Kerze,9,12,12,10,88.67,92.75,94.0,92.9,13.34,10.98,5.15,9.4,21,22,91.0,93.5,11.91,7.22,10,9,9,10,28.6,40.11,28.44,45.6,33.73,26.93,10.73,26.95,19,19,34.05,37.47,30.43,22.18,0.0,0.0,,5,short_word,
Kessel,12,8,14,9,86.0,88.38,88.57,81.44,14.76,9.36,21.29,25.05,20,23,86.95,85.78,12.65,22.55,9,10,10,8,6.67,4.6,7.1,11.0,16.76,19.22,14.62,17.84,19,18,5.58,8.83,17.62,15.75,0.0,0.0,,6,short_word,
Ketchup,10,10,12,11,86.4,91.7,82.25,88.0,13.52,13.07,25.19,14.39,20,23,89.05,85.0,13.22,20.5,10,8,8,11,5.1,21.5,25.75,32.36,31.6,22.72,18.77,28.7,18,19,12.39,29.58,28.49,24.62,0.0,0.0,,7,long_word,
Kette,9,9,12,11,90.67,94.44,97.25,87.91,9.64,5.75,4.59,12.79,18,23,92.56,92.78,7.94,10.37,9,10,11,8,2.67,36.9,-6.55,32.75,24.0,36.24,33.4,22.19,19,19,20.68,10.0,34.95,34.77,0.0,0.0,,5,short_word,
Kiefer,10,10,12,10,76.5,79.9,96.42,91.1,15.36,14.93,3.4,11.44,20,22,78.2,94.0,14.85,8.33,10,9,9,10,4.1,4.89,56.89,28.8,20.42,21.45,22.36,29.49,19,19,4.47,42.11,20.33,29.41,0.0,0.0,nature_based_non_human,6,short_word,plant
Kieme,9,12,12,11,67.44,72.75,74.17,71.64,34.1,19.07,31.57,23.33,21,23,70.48,72.96,25.93,27.34,10,9,9,11,2.2,4.11,5.89,7.27,10.53,15.54,31.75,18.34,19,20,3.11,6.65,12.79,24.54,0.0,0.0,,5,short_word,
Kies,10,11,12,10,76.1,84.55,82.83,85.0,24.07,15.77,22.77,20.04,21,22,80.52,83.82,20.09,21.1,10,8,9,10,4.9,4.25,17.56,6.5,12.84,20.46,28.34,25.79,18,19,4.61,11.74,16.12,26.86,0.0,0.0,,4,short_word,
Kiesel,11,8,12,11,73.91,80.25,84.25,76.64,22.39,19.2,15.74,28.15,19,23,76.58,80.61,20.79,22.34,9,9,9,10,22.89,-0.44,13.11,12.8,21.27,14.14,11.85,39.64,18,19,11.22,12.95,21.24,29.12,0.0,0.0,,6,short_word,
Kilo,11,10,11,10,45.45,38.3,47.55,67.3,34.34,21.2,30.36,32.4,21,21,42.05,56.95,28.38,32.18,11,7,10,9,-4.09,-8.86,7.2,14.33,25.19,10.92,8.98,18.21,18,19,-5.94,10.58,20.52,14.18,0.0,0.0,,4,short_word,
Kimono,11,10,12,11,79.64,94.5,83.67,86.0,21.41,8.62,18.88,18.08,21,23,86.71,84.78,17.9,18.12,7,10,9,11,34.57,35.8,27.44,27.36,30.07,32.4,26.87,38.99,17,20,35.29,27.4,30.49,33.23,0.03,0.0,,6,short_word,
Kind,14,15,15,17,94.5,93.0,93.6,92.29,5.8,12.69,12.53,11.41,29,32,93.72,92.91,9.83,11.77,13,13,12,13,48.62,36.54,74.5,81.46,34.11,42.08,17.15,21.9,26,25,42.58,78.12,38.03,19.68,0.0,0.0,nature_based_human,4,short_word,
Kinn,11,9,11,12,79.82,91.33,96.64,89.67,21.91,11.25,4.18,11.59,20,23,85.0,93.0,18.45,9.37,8,11,10,9,12.0,6.45,20.0,22.67,26.8,24.12,23.32,21.94,19,19,8.79,21.26,24.71,22.09,0.0,0.0,,4,short_word,
Kino,11,9,13,10,78.45,88.11,88.38,90.2,24.45,11.3,15.9,13.89,20,23,82.8,89.17,19.82,14.75,8,11,8,11,44.25,60.73,21.88,56.18,30.93,32.67,20.07,23.14,19,19,53.79,41.74,32.17,27.51,0.0,0.0,,4,short_word,
Kiosk,10,10,12,11,84.6,82.8,90.67,89.73,20.13,19.81,15.89,12.54,20,23,83.7,90.22,19.46,14.07,9,10,7,12,17.11,17.3,10.86,18.92,27.83,23.32,4.98,21.27,19,19,17.21,15.95,24.82,17.34,0.0,0.0,,5,short_word,
Kirche,10,9,14,9,93.9,94.56,96.07,95.33,6.79,4.93,7.44,7.35,19,23,94.21,95.78,5.83,7.24,9,10,9,10,-21.11,17.8,55.56,32.8,49.04,33.63,34.26,40.97,19,19,-0.63,43.58,45.09,38.69,0.0,0.0,,6,short_word,
Kirchturm,10,10,13,10,84.1,87.8,95.92,94.8,17.73,14.82,4.09,5.09,20,23,85.95,95.43,16.01,4.48,8,11,9,10,7.0,31.27,42.11,40.3,41.13,28.06,27.4,35.02,19,19,21.05,41.16,35.31,30.79,0.0,0.0,,9,long_word,
Kirsche,12,8,11,12,92.83,97.5,95.36,94.67,8.04,4.54,9.44,4.25,20,23,94.7,95.0,7.11,7.05,11,8,11,8,43.55,52.0,67.73,58.25,36.97,28.44,21.91,28.28,19,19,47.11,63.74,33.05,24.51,0.0,0.0,nature_based_non_human,7,long_word,plant
Kissen,10,11,13,10,89.3,95.64,93.08,91.7,7.42,5.97,7.35,7.51,21,23,92.62,92.48,7.29,7.29,10,9,8,11,43.0,44.11,33.13,53.91,28.7,33.9,24.99,25.28,19,19,43.53,45.16,30.38,26.63,0.0,0.0,,6,short_word,
Kiste,10,11,12,11,84.0,89.18,95.5,90.64,16.11,10.76,6.56,6.39,21,23,86.71,93.17,13.48,6.8,9,10,8,11,12.67,-2.6,10.25,8.36,20.54,22.81,14.57,9.46,19,19,4.63,9.16,22.56,11.54,0.0,0.0,,5,short_word,
Kittel,10,10,11,12,81.0,83.5,88.73,85.67,16.92,13.2,16.46,21.69,20,23,82.25,87.13,14.83,18.99,9,9,11,8,-6.11,2.89,5.64,-8.88,20.09,35.88,21.57,33.71,18,19,-1.61,-0.47,28.59,27.47,0.0,0.0,,6,short_word,
Kiwi,11,8,12,11,90.82,95.13,90.17,89.27,8.08,7.06,14.38,12.93,19,23,92.63,89.74,7.78,13.4,10,9,10,9,36.2,40.67,37.5,52.56,19.1,29.52,39.53,22.84,19,19,38.32,44.63,23.98,32.75,0.0,0.0,nature_based_non_human,4,short_word,
Klammer,12,8,11,12,77.0,84.63,90.18,82.08,22.49,18.44,15.53,19.61,20,23,80.05,85.96,20.8,17.86,9,9,7,12,-3.89,6.33,18.71,4.92,17.19,17.27,23.19,27.12,18,19,1.22,10.0,17.52,25.99,0.0,0.0,,7,long_word,
Klang,10,10,13,10,43.2,29.0,57.31,40.3,33.68,32.47,37.83,31.36,20,23,36.1,49.91,33.01,35.46,10,9,9,10,39.3,52.0,39.0,47.0,29.61,36.51,20.77,31.96,19,19,45.32,43.21,32.76,26.82,0.0,0.0,,5,short_word,
Klappe,11,9,12,10,62.27,64.22,71.58,69.7,26.92,21.06,22.57,29.91,20,22,63.15,70.73,23.86,25.52,9,9,9,11,-8.33,-3.22,1.56,0.0,18.62,13.53,8.8,12.16,18,20,-5.78,0.7,16.01,10.54,0.0,0.0,,6,short_word,
Klapper,9,10,11,11,68.33,51.9,64.73,85.0,14.42,27.42,31.31,15.28,19,22,59.68,74.86,23.23,26.18,9,7,9,10,-5.44,-12.14,7.78,22.7,20.78,27.6,12.16,40.8,16,19,-8.38,15.63,23.38,30.93,0.15,0.0,,7,long_word,
Klasse,9,12,11,11,50.0,47.75,65.0,90.0,33.94,27.65,25.16,8.07,21,22,48.71,77.5,29.71,22.27,9,10,9,11,20.67,-1.8,8.67,27.0,27.74,19.89,14.79,24.09,19,20,8.84,18.75,25.93,22.02,0.0,0.03,,6,short_word,
Klavier,10,9,11,11,90.8,95.56,97.18,93.45,8.99,7.45,5.34,10.19,19,22,93.05,95.32,8.43,8.17,10,9,10,9,51.8,43.67,46.1,70.56,30.14,33.47,27.82,21.24,19,19,47.95,57.68,31.13,27.29,0.0,0.0,,7,long_word,
Kleber,12,9,11,12,61.42,81.89,82.91,81.33,30.08,13.68,17.87,23.14,21,23,70.19,82.09,26.08,20.34,9,9,7,12,-5.78,8.44,12.29,7.83,18.57,18.59,13.44,12.82,18,19,1.33,9.47,19.45,12.86,0.0,0.0,,6,short_word,
Klecks,11,10,14,9,75.64,79.6,78.43,82.67,16.48,17.85,27.84,23.7,21,23,77.52,80.09,16.83,25.82,10,8,10,9,-5.5,11.88,-31.1,-31.33,12.39,39.73,26.04,32.31,18,19,2.22,-31.21,28.46,28.34,0.0,0.0,,6,short_word,
Klee,11,9,12,11,80.36,89.33,95.67,93.45,24.71,12.36,6.18,10.64,20,23,84.4,94.61,20.16,8.48,8,10,9,10,32.5,45.1,49.22,37.9,21.75,34.04,24.85,45.67,18,19,39.5,43.26,29.15,36.76,0.0,0.0,nature_based_non_human,4,short_word,plant
Kleid,11,10,13,9,84.45,90.8,94.38,94.33,13.8,7.19,7.49,4.66,21,22,87.48,94.36,11.36,6.35,9,10,8,11,45.56,39.5,27.63,32.36,32.65,33.09,45.88,28.17,19,19,42.37,30.37,32.11,35.57,0.0,0.0,,5,short_word,
Kleidung,11,9,13,10,61.27,79.67,88.15,86.1,31.24,17.01,14.58,25.23,20,23,69.55,87.26,26.9,19.43,9,9,8,11,19.22,28.11,36.88,45.36,16.78,32.85,24.63,34.63,18,19,23.67,41.79,25.71,30.34,0.0,0.0,,8,long_word,
Kleinkind,11,8,11,11,68.0,78.25,95.09,89.0,29.48,17.29,6.77,18.08,19,22,72.32,92.05,25.02,13.68,10,9,10,9,25.1,31.11,54.6,56.89,40.85,51.65,38.21,32.77,19,19,27.95,55.68,45.05,34.77,0.0,0.03,nature_based_human,9,long_word,
Kleister,10,9,10,13,60.6,69.78,87.2,82.62,20.1,24.09,15.79,23.96,19,23,64.95,84.61,21.96,20.5,9,9,10,9,-5.44,1.33,-4.0,5.56,13.41,15.79,30.36,24.38,18,19,-2.06,0.53,14.63,27.37,0.0,0.0,,8,long_word,
Klempner,13,8,12,11,63.08,69.0,81.58,85.0,29.76,13.92,22.68,17.11,21,23,65.33,83.22,24.65,19.83,8,10,9,10,-3.13,-4.9,24.0,7.2,17.44,13.67,28.07,31.48,18,19,-4.11,15.16,15.0,30.33,0.0,0.0,nature_based_human,8,long_word,
Klette,10,10,12,11,54.6,66.9,82.42,77.91,34.62,27.99,18.52,25.85,20,23,60.75,80.26,31.28,21.92,10,8,10,9,-15.5,-20.75,-6.9,-14.0,17.72,26.47,32.91,35.98,18,19,-17.83,-10.26,21.49,33.62,0.0,0.0,nature_based_non_human,6,short_word,plant
Klingel,10,11,14,9,80.9,89.82,87.07,85.56,22.83,10.12,17.44,14.03,21,23,85.57,86.48,17.51,15.87,8,10,8,11,-8.88,4.3,7.75,27.82,33.14,15.33,21.89,25.86,18,19,-1.56,19.37,24.94,25.72,0.0,0.0,,7,long_word,
Klinke,11,8,11,12,83.45,87.63,95.73,88.92,16.75,5.66,5.85,13.3,19,23,85.21,92.17,13.14,10.78,10,8,10,9,3.8,9.75,12.6,20.11,11.0,25.74,18.75,27.52,18,19,6.44,16.16,18.61,22.96,0.0,0.0,,6,short_word,
Klippe,10,9,12,11,81.1,81.78,81.58,75.64,20.62,13.1,20.35,27.21,19,23,81.42,78.74,17.0,23.51,9,10,9,10,7.67,-8.3,-10.11,-9.1,35.44,38.64,37.04,35.96,19,19,-0.74,-9.58,37.04,35.45,0.0,0.0,,6,short_word,
Klo,11,9,12,11,81.09,96.22,89.5,93.09,23.85,5.02,19.77,7.38,20,23,87.9,91.22,19.22,14.95,9,9,9,10,7.89,-20.78,18.89,17.2,38.84,24.09,49.01,31.8,18,19,-6.44,18.0,34.65,39.67,0.0,0.0,,3,short_word,
Kloß,12,9,12,10,75.08,76.44,88.42,87.7,23.19,18.39,14.95,20.75,21,22,75.67,88.09,20.77,17.37,9,9,9,10,15.89,-3.22,29.89,35.3,32.46,16.9,30.99,39.08,18,19,6.33,32.74,26.96,34.62,0.0,0.0,,4,short_word,
Kloster,9,12,13,10,73.44,84.17,81.31,87.2,23.47,11.47,19.55,11.48,21,23,79.57,83.87,17.95,16.47,10,9,8,11,-20.9,0.78,11.88,9.0,34.43,35.42,19.36,24.92,19,19,-10.63,10.21,35.69,22.21,0.0,0.0,,7,long_word,
Klotz,9,10,12,10,73.56,66.6,83.42,82.8,24.59,30.83,26.95,21.51,19,22,69.89,83.14,27.51,24.06,10,9,9,10,-17.6,-20.0,-10.11,-20.0,19.56,18.03,27.45,38.59,19,19,-18.74,-15.32,18.36,33.24,0.0,0.0,,5,short_word,
Klumpen,11,9,11,12,77.64,67.0,81.55,81.25,18.24,24.02,19.27,23.03,20,23,72.85,81.39,21.16,20.83,10,9,9,10,-15.0,-22.78,-9.0,-16.7,13.82,28.92,28.75,34.29,19,19,-18.68,-13.05,21.98,31.16,0.0,0.0,,7,long_word,
Knall,11,9,12,10,54.18,42.22,41.83,42.1,38.99,40.13,33.47,32.95,20,22,48.8,41.95,38.93,32.43,9,9,9,10,-28.67,-38.0,-27.44,-64.0,35.23,31.32,39.2,29.53,18,19,-33.33,-46.68,32.69,38.35,0.0,0.0,,5,short_word,
Knäuel,10,10,11,12,71.7,83.7,84.0,84.92,24.58,19.62,18.31,24.04,20,23,77.7,84.48,22.5,21.01,9,9,9,10,3.33,9.11,7.78,5.6,23.25,31.11,27.64,30.53,18,19,6.22,6.63,26.81,28.41,0.0,0.0,,6,short_word,
Knecht,11,9,12,11,58.09,53.67,76.0,74.45,25.41,28.36,26.86,22.68,20,23,56.1,75.26,26.14,24.4,9,10,10,10,-51.22,-32.6,-35.5,-16.5,28.09,25.3,37.13,25.76,19,20,-41.42,-26.0,27.6,32.59,0.0,0.0,nature_based_human,6,short_word,
Kneifzange,9,11,11,12,81.22,81.64,96.73,88.17,17.04,12.51,4.22,21.62,20,23,81.45,92.26,14.31,16.15,10,9,9,10,-16.5,-23.89,7.78,1.6,39.81,24.23,9.67,18.63,19,19,-20.0,4.53,32.68,15.01,0.0,0.0,,10,long_word,
Kneipe,10,9,12,11,80.0,77.33,86.17,89.45,18.23,19.72,18.68,18.55,19,23,78.74,87.74,18.47,18.27,9,9,8,12,15.0,24.67,-11.38,-12.75,50.87,30.59,18.96,45.46,18,20,19.83,-12.2,41.02,36.46,0.0,0.0,,6,short_word,
Knete,13,7,12,11,72.85,74.29,77.08,80.27,16.98,15.47,23.9,23.96,20,23,73.35,78.61,16.07,23.43,10,8,9,10,5.1,23.0,30.22,5.9,22.93,32.31,33.23,23.7,18,19,13.06,17.42,28.14,30.45,0.0,0.0,,5,short_word,
Knie,10,11,13,10,87.8,87.73,93.15,91.8,9.91,10.94,13.75,8.75,21,23,87.76,92.57,10.2,11.62,9,10,9,10,2.89,3.2,28.11,27.2,28.88,19.19,29.11,27.1,19,19,3.05,27.63,23.55,27.28,0.0,0.0,,4,short_word,
Knoblauch,8,12,12,11,88.88,91.58,86.58,90.82,9.69,8.25,18.18,8.17,20,23,90.5,88.61,8.71,14.15,8,10,9,10,48.25,8.0,-23.67,5.0,31.66,20.19,44.01,43.69,18,19,25.89,-8.58,32.43,45.08,0.0,0.0,nature_based_non_human,9,long_word,plant
Knöchel,9,11,11,12,83.44,80.09,86.27,87.08,14.13,16.52,17.55,17.37,20,23,81.6,86.7,15.19,17.06,9,10,9,10,-15.33,3.6,15.56,9.1,15.47,26.21,29.41,25.8,19,19,-5.37,12.16,23.32,26.98,0.0,0.0,,7,long_word,
Knochen,10,11,12,11,87.0,90.18,87.5,88.18,22.27,12.29,20.3,12.44,21,23,88.67,87.83,17.36,16.63,11,8,9,10,-19.27,-7.13,-3.0,2.6,34.04,13.93,21.59,35.0,19,19,-14.16,-0.05,27.52,28.77,0.0,0.0,,7,long_word,
Knödel,11,8,13,9,83.55,85.13,93.69,87.33,13.38,14.39,8.14,17.96,19,22,84.21,91.09,13.44,13.07,9,9,10,9,33.78,20.89,53.6,38.56,31.95,28.96,23.28,31.51,18,19,27.33,46.47,30.31,27.78,0.0,0.0,,6,short_word,
Knopf,10,9,11,12,82.1,93.56,95.64,88.08,14.81,8.4,7.66,15.52,19,23,87.53,91.7,13.25,12.73,9,9,10,9,13.11,6.89,18.0,30.78,19.74,10.26,24.87,32.55,18,19,10.0,24.05,15.6,28.69,0.0,0.0,,5,short_word,
Knospe,8,12,13,10,86.0,83.08,94.15,88.2,14.66,17.22,8.21,12.62,20,23,84.25,91.57,15.91,10.54,9,10,9,10,50.44,54.2,60.67,55.2,26.28,32.07,25.69,27.26,19,19,52.42,57.79,28.72,25.93,0.0,0.0,,6,short_word,
Knüppel,10,10,13,9,82.2,83.6,82.54,82.11,10.16,14.84,28.15,19.38,20,22,82.9,82.36,12.4,24.41,10,8,9,10,-42.5,-56.0,-27.56,-41.3,16.57,30.19,32.58,34.3,18,19,-48.5,-34.79,23.84,33.32,0.0,0.0,,7,long_word,
Kobold,11,11,12,11,68.27,73.0,64.33,61.64,23.32,15.52,22.52,25.48,22,23,70.64,63.04,19.48,23.46,9,9,9,10,0.89,27.22,0.22,6.0,47.23,42.86,38.29,37.54,18,19,14.06,3.26,45.8,36.95,0.0,0.0,,6,short_word,
Kobra,9,11,12,10,89.78,86.0,88.5,71.5,12.75,15.17,15.2,26.88,20,22,87.7,80.77,13.9,22.49,9,9,10,8,15.67,-13.0,-39.5,-44.38,24.11,37.79,68.5,33.81,18,18,1.33,-41.67,34.1,54.42,0.0,0.0,nature_based_non_human,5,short_word,
Koch,11,10,13,10,77.36,81.5,88.69,83.5,12.82,14.58,12.47,15.15,21,23,79.33,86.43,13.5,13.62,9,10,9,10,38.11,38.5,41.0,43.1,24.6,39.75,28.3,31.09,19,19,38.32,42.11,32.55,28.99,0.0,0.0,nature_based_human,4,short_word,
Kochlöffel,8,12,12,11,89.75,89.33,90.75,92.36,15.61,11.32,11.72,7.28,20,23,89.5,91.52,12.8,9.67,11,8,10,9,11.82,25.0,33.5,18.33,25.19,27.03,33.33,20.98,19,19,17.37,26.32,26.1,28.49,0.0,0.0,,10,long_word,
Kochtopf,11,9,12,11,87.73,90.22,96.92,92.27,17.06,7.98,5.73,11.31,20,23,88.85,94.7,13.48,8.95,12,7,10,10,23.42,15.71,42.5,24.2,19.71,25.93,29.96,23.43,19,20,20.58,33.35,21.82,27.81,0.0,0.0,,8,long_word,
Koffer,9,10,12,10,89.56,94.6,96.08,89.6,11.51,6.2,4.56,9.29,19,22,92.21,93.14,9.21,7.67,10,9,9,10,13.0,35.56,25.0,27.9,20.52,33.62,23.75,25.23,19,19,23.68,26.53,29.1,23.9,0.0,0.0,,6,short_word,
Kofferraum,10,10,12,11,81.1,84.9,92.5,86.64,17.01,13.74,13.99,12.45,20,23,83.0,89.7,15.18,13.32,9,9,10,9,7.22,-1.67,18.5,1.89,27.98,14.66,41.24,13.96,18,19,2.78,10.63,22.15,31.77,0.0,0.0,,10,long_word,
Kohl,10,10,11,11,88.3,76.0,95.0,86.09,10.18,17.02,6.51,18.73,20,22,82.15,90.55,15.04,14.42,10,8,8,12,15.2,-1.13,24.25,32.33,24.5,8.84,27.95,27.91,18,20,7.94,29.1,20.48,27.48,0.0,0.0,nature_based_non_human,4,short_word,plant
Kohle,10,11,14,9,81.4,87.45,94.43,82.78,18.43,9.81,9.62,26.67,21,23,84.57,89.87,14.51,18.63,9,10,8,11,11.33,0.4,38.38,10.73,23.97,9.43,27.95,26.74,19,19,5.58,22.37,18.2,29.96,0.0,0.0,,5,short_word,
Kohlrabi,11,10,13,9,81.82,84.6,97.54,86.67,14.55,20.1,3.97,14.36,21,22,83.14,93.09,17.02,10.84,9,9,9,10,6.78,5.89,48.67,45.9,26.84,25.96,25.22,24.76,18,19,6.33,47.21,25.62,24.32,0.0,0.0,nature_based_non_human,8,long_word,plant
Kokosnuss,9,11,13,10,91.0,91.91,93.38,85.5,12.27,12.91,12.69,18.52,20,23,91.5,89.96,12.3,15.62,10,9,10,9,37.9,35.56,49.3,23.44,22.05,42.46,23.78,14.51,19,19,36.79,37.05,32.34,23.5,0.0,0.0,,9,long_word,
Kolibri,10,11,13,10,80.2,88.55,93.54,78.4,18.03,9.45,13.0,32.01,21,23,84.57,86.96,14.46,23.88,9,10,9,10,38.22,46.4,65.11,43.5,18.96,30.08,25.49,27.43,19,19,42.53,53.74,25.09,28.07,0.0,0.0,nature_based_non_human,7,long_word,
Kollege,11,10,13,10,48.64,52.1,62.08,78.1,25.93,28.1,31.6,20.6,21,23,50.29,69.04,26.36,28.01,10,8,10,9,23.1,17.88,49.5,47.67,21.61,19.61,36.75,26.72,18,19,20.78,48.63,20.32,31.52,0.0,0.0,nature_based_human,7,long_word,
Komet,11,10,12,11,89.64,64.9,82.17,74.55,9.06,26.91,22.69,34.01,21,23,77.86,78.52,22.96,28.26,11,7,10,9,22.55,25.86,28.8,14.44,47.09,18.42,33.24,14.17,18,19,23.83,22.0,37.78,26.38,0.0,0.0,,5,short_word,
Komma,10,11,13,10,88.7,79.0,85.23,92.4,16.34,15.95,23.99,6.75,21,23,83.62,88.35,16.49,18.6,9,10,11,8,0.56,1.7,-0.09,-1.13,8.02,3.3,21.47,17.51,19,19,1.16,-0.53,5.86,19.38,0.0,0.0,,5,short_word,
Kommissar,11,9,12,11,49.91,55.22,49.5,62.64,17.31,21.0,28.81,35.34,20,23,52.3,55.78,18.73,32.06,9,9,8,11,9.89,-1.89,-12.25,-1.64,30.67,10.97,38.38,27.92,18,19,4.0,-6.11,23.15,32.17,0.0,0.0,nature_based_human,9,long_word,
Kommode,12,9,11,11,73.17,81.67,81.73,88.82,24.82,22.38,26.32,20.3,21,22,76.81,85.27,23.62,23.22,8,10,8,11,10.0,10.4,9.63,19.09,12.51,10.32,11.19,27.3,18,19,10.22,15.11,10.99,22.04,0.0,0.0,,7,long_word,
Kompass,11,9,12,10,91.09,93.22,95.25,88.4,9.2,8.7,7.72,20.16,20,22,92.05,92.14,8.81,14.75,8,10,10,10,27.13,19.0,46.1,21.4,21.55,24.37,37.57,19.59,18,20,22.61,33.75,22.87,31.8,0.0,0.0,,7,long_word,
Komponist,11,9,13,10,55.55,53.78,60.08,63.8,26.88,25.15,38.24,22.75,20,23,54.75,61.7,25.44,31.83,9,10,10,9,25.22,45.7,47.4,46.22,29.75,36.62,32.97,26.7,19,19,36.0,46.84,34.26,29.34,0.0,0.0,nature_based_human,9,long_word,
Kompost,11,9,11,12,72.36,78.33,85.45,81.08,17.22,19.86,16.54,19.93,20,23,75.05,83.17,18.21,18.11,10,8,7,12,8.1,7.75,5.43,-14.42,14.66,27.65,27.18,39.67,18,19,7.94,-7.11,20.71,36.12,0.0,0.0,,7,long_word,
Kompott,12,9,13,10,62.75,86.78,89.46,86.3,27.16,12.86,12.14,15.01,21,23,73.05,88.09,24.91,13.23,9,10,10,9,8.11,34.7,41.6,44.33,27.73,32.37,55.57,36.91,19,19,22.11,42.89,32.43,46.38,0.0,0.0,,7,long_word,
Konditor,9,9,10,13,63.0,56.89,84.6,82.38,29.34,24.85,24.54,16.93,18,23,59.94,83.35,26.57,20.1,8,10,10,9,18.13,29.4,53.8,54.11,19.24,30.42,30.86,35.03,18,19,24.39,53.95,25.99,31.96,0.0,0.0,nature_based_human,8,long_word,
Konferenz,11,9,14,9,53.91,40.78,72.36,58.78,26.81,20.8,19.98,33.96,20,23,48.0,67.04,24.61,26.48,8,10,10,9,-10.5,-1.6,-11.7,8.78,28.18,23.74,32.08,25.15,18,19,-5.56,-2.0,25.42,30.1,0.04,0.0,,9,long_word,
Konfetti,11,8,13,10,85.82,87.88,92.46,92.2,9.27,13.27,13.18,8.4,19,23,86.68,92.35,10.83,11.12,7,11,9,10,17.14,38.82,19.67,22.4,37.28,41.46,43.27,34.37,18,19,30.39,21.11,40.25,37.75,0.0,0.0,,8,long_word,
König,12,10,13,10,77.67,83.1,71.69,71.0,20.39,24.33,32.22,20.3,22,23,80.14,71.39,21.89,27.11,9,10,9,10,-6.0,8.2,-5.33,5.3,43.55,46.01,27.22,35.88,19,19,1.47,0.26,44.21,31.66,0.0,0.0,nature_based_human,5,short_word,
Königin,10,11,12,11,79.0,78.91,77.92,77.64,16.1,25.17,21.99,18.05,21,23,78.95,77.78,20.82,19.74,8,10,10,9,22.38,25.1,11.7,7.11,35.78,40.65,35.89,34.02,18,19,23.89,9.53,37.47,34.12,0.0,0.0,nature_based_human,7,long_word,
Konserve,10,10,12,11,73.3,87.7,91.58,76.64,23.78,13.9,13.71,22.35,20,23,80.5,84.43,20.35,19.47,9,9,10,10,2.22,0.56,13.1,11.9,24.9,9.36,16.45,25.63,18,20,1.39,12.5,18.27,20.97,0.0,0.0,,8,long_word,
Kontakt,9,11,12,11,32.89,32.36,58.67,41.45,22.98,16.46,31.86,27.49,20,23,32.6,50.43,19.1,30.47,9,9,8,11,33.11,24.67,40.63,48.91,16.5,33.19,28.77,36.58,18,19,28.89,45.42,25.8,32.91,0.0,0.0,nature_based_human,7,long_word,
Kontrabass,10,10,11,12,92.1,90.8,92.91,88.08,10.65,12.65,14.66,13.87,20,23,91.45,90.39,11.4,14.14,10,9,10,9,39.1,28.56,26.8,34.56,46.54,30.2,33.26,33.37,19,19,34.11,30.47,38.96,32.61,0.0,0.0,,10,long_word,
Konzept,10,10,12,11,22.6,24.5,40.83,50.45,16.3,26.4,24.85,34.02,20,23,23.55,45.43,21.38,29.31,9,9,9,10,16.44,10.56,28.44,16.8,21.73,35.26,35.37,19.59,18,19,13.5,22.32,28.57,27.99,0.0,0.0,,7,long_word,
Konzert,10,10,11,11,66.0,68.5,71.82,80.18,28.38,24.61,26.72,27.24,20,22,67.25,76.0,25.89,26.68,8,10,8,11,61.13,57.9,58.13,80.27,31.87,31.19,27.48,16.14,18,19,59.33,70.95,30.59,23.76,0.0,0.0,,7,long_word,
Kopf,11,10,12,11,87.09,92.7,97.33,92.64,13.25,9.29,3.2,11.53,21,23,89.76,95.09,11.61,8.45,9,10,9,10,24.0,20.1,25.56,41.3,36.86,28.11,14.57,34.75,19,19,21.95,33.84,31.67,27.63,0.0,0.0,nature_based_human,4,short_word,
Kopftuch,9,12,13,10,88.67,92.33,93.92,89.0,9.29,8.22,8.6,18.92,21,23,90.76,91.78,8.67,13.89,9,10,8,11,-10.89,-16.7,-11.25,15.82,43.66,38.51,37.34,39.95,19,19,-13.95,4.42,39.97,40.22,0.0,0.0,,8,long_word,
Kopfweh,8,11,13,10,33.88,51.0,53.23,66.3,34.79,28.5,33.08,35.47,19,23,43.79,58.91,31.58,33.99,11,7,8,11,-56.0,-57.86,-40.13,-62.55,26.31,32.25,28.18,26.41,18,19,-56.72,-53.11,27.84,28.73,0.0,0.0,,7,long_word,
Kopierer,11,11,12,11,81.64,88.82,84.0,84.64,18.46,12.67,25.47,19.73,22,23,85.23,84.3,15.88,22.39,9,10,10,9,0.56,3.8,31.8,23.89,22.16,12.11,27.96,35.64,19,19,2.26,28.05,17.16,31.17,0.0,0.0,,8,long_word,
